iter	RMSE
0	13.45198066
1	13.07151321
2	12.67990677
3	12.28426017
4	11.92589979
5	11.53259841
6	11.19229385
7	10.84532448
8	10.54707019
9	10.23698528
10	9.935109457
11	9.642396124
12	9.343176039
13	9.062803051
14	8.801342674
15	8.563312061
16	8.285201807
17	8.052275171
18	7.818426914
19	7.591169135
20	7.358241813
21	7.137442281
22	6.909172641
23	6.714503984
24	6.507253783
25	6.332429741
26	6.132430171
27	5.947367451
28	5.760672706
29	5.592035976
30	5.429629627
31	5.268197508
32	5.139733745
33	4.99188568
34	4.848108892
35	4.706730722
36	4.568877003
37	4.440983718
38	4.312973351
39	4.191959488
40	4.076447328
41	3.977119271
42	3.859200357
43	3.754911619
44	3.648464785
45	3.556425151
46	3.451849136
47	3.360802164
48	3.27119339
49	3.195507923
50	3.108491101
51	3.025663947
52	2.944181441
53	2.87004158
54	2.792875228
55	2.715053251
56	2.639268879
57	2.56959906
58	2.497741518
59	2.429186314
60	2.369304577
61	2.3122175
62	2.254853883
63	2.189754036
64	2.126199706
65	2.073933108
66	2.021648716
67	1.967072265
68	1.917100663
69	1.868151246
70	1.821412435
71	1.773972
72	1.728764967
73	1.68660787
74	1.646138031
75	1.605359288
76	1.569908161
77	1.538086261
78	1.501798831
79	1.468270738
80	1.432759806
81	1.402211764
82	1.372803053
83	1.339832174
84	1.310894185
85	1.280271168
86	1.254463663
87	1.226717042
88	1.201736681
89	1.179967827
90	1.158590078
91	1.138003692
92	1.11839217
93	1.098073386
94	1.081293609
95	1.062622317
96	1.042650122
97	1.023096921
98	1.004986514
99	0.9905369728
100	0.9724911354
101	0.9568343745
102	0.9459895058
103	0.9306152484
104	0.9160363208
105	0.9030878021
106	0.8892101767
107	0.8772839224
108	0.867429316
109	0.8541993127
110	0.8414942195
111	0.8304347162
112	0.8223623224
113	0.816521822
114	0.805402472
115	0.7962258939
116	0.7933653019
117	0.7831066435
118	0.7735595152
119	0.7636215937
120	0.7571972493
121	0.7497959355
122	0.7409699678
123	0.7362267947
124	0.7279713611
125	0.7205978774
126	0.7135159825
127	0.7058861163
128	0.7025934229
129	0.6951138487
130	0.6928497563
131	0.6906205884
132	0.6877500903
133	0.6825091348
134	0.6772108397
135	0.6713228548
136	0.6678345408
137	0.6621802253
138	0.6576651884
139	0.6528074799
140	0.6496139212
141	0.6423488411
142	0.638923801
143	0.6354004783
144	0.6327993404
145	0.6279082077
146	0.6245214345
147	0.6216581238
148	0.6199053385
149	0.6147365163
150	0.6119156176
151	0.6062652683
152	0.6016134156
153	0.596194282
154	0.5912582228
155	0.589616984
156	0.5865641243
157	0.5838012134
158	0.5822419027
159	0.5765791675
160	0.5740785519
161	0.5693458723
162	0.5676197769
163	0.5661829291
164	0.5614875841
165	0.558384044
166	0.5566291269
167	0.5515448441
168	0.5500667894
169	0.5487487871
170	0.5460863625
171	0.5416057361
172	0.5389795569
173	0.5361409458
174	0.534651368
175	0.5326729854
176	0.5291637173
177	0.5279882953
178	0.5255525209
179	0.5227465392
180	0.5207877746
181	0.5194589245
182	0.5181485374
183	0.5148100677
184	0.5129562346
185	0.5115191817
186	0.5098784687
187	0.508868369
188	0.5045806903
189	0.5036249288
190	0.5005962563
191	0.4989063015
192	0.4978560207
193	0.4939961835
194	0.4929001246
195	0.4892247117
196	0.4870865313
197	0.4854687125
198	0.4836429527
199	0.482807547
200	0.48148703
201	0.4801024406
202	0.4769671127
203	0.4742563139
204	0.4730893078
205	0.4720795936
206	0.4712517245
207	0.469980479
208	0.4671051805
209	0.4651089504
210	0.4642532452
211	0.4604420362
212	0.4580633286
213	0.4548496475
214	0.4542199844
215	0.4523623146
216	0.4512043787
217	0.4500529863
218	0.4472311161
219	0.4465666516
220	0.4458062761
221	0.4431404932
222	0.4423056528
223	0.4416706196
224	0.4407989809
225	0.4399925569
226	0.4394550388
227	0.4386004258
228	0.437363429
229	0.4366586196
230	0.4347367324
231	0.4340988621
232	0.4332263149
233	0.432458838
234	0.4318782877
235	0.4304295939
236	0.429809507
237	0.4291955278
238	0.4286273165
239	0.4266920635
240	0.426132663
241	0.4245947359
242	0.4240609075
243	0.4222393419
244	0.4215254321
245	0.4206991878
246	0.4196286383
247	0.4191411473
248	0.41784165
249	0.4166909286
250	0.4162284341
251	0.4156595336
252	0.4151027688
253	0.4146580994
254	0.4141979212
255	0.4136700539
256	0.4132425355
257	0.4103978285
258	0.4083897867
259	0.4078897451
260	0.4053972732
261	0.4033642089
262	0.4029561592
263	0.4025588101
264	0.402171101
265	0.3998392415
266	0.3984071856
267	0.395958748
268	0.3955978584
269	0.3952312955
270	0.3948850186
271	0.3932072954
272	0.3927904048
273	0.3912681562
274	0.3893909285
275	0.3890877143
276	0.3887740702
277	0.3884764746
278	0.3869050724
279	0.3865708151
280	0.384402699
281	0.3841111943
282	0.3838256388
283	0.3835315189
284	0.3820221452
285	0.3800052058
286	0.3784483098
287	0.3781066028
288	0.3760537939
289	0.3745071575
290	0.374296717
291	0.3739722737
292	0.3727752162
293	0.3714954301
294	0.3712419619
295	0.3710070618
296	0.3707710847
297	0.3705403578
298	0.3693931222
299	0.3691745136
300	0.3689605635
301	0.3687511695
302	0.3679946195
303	0.3667914283
304	0.3658908439
305	0.3656708506
306	0.3646876428
307	0.3636975012
308	0.3634943002
309	0.362653646
310	0.3610957951
311	0.3603252837
312	0.3590293436
313	0.3588351124
314	0.3586445164
315	0.3577275386
316	0.3567946012
317	0.3556949708
318	0.3555181172
319	0.3539008519
320	0.3529114638
321	0.3512531377
322	0.3510839949
323	0.3509198577
324	0.3497597864
325	0.3489232999
326	0.3487628222
327	0.34800573
328	0.3467601215
329	0.3458432285
330	0.3447021608
331	0.3445535797
332	0.3444078253
333	0.3433141035
334	0.343171596
335	0.3421056518
336	0.3411169587
337	0.3402218728
338	0.3394483149
339	0.3385825768
340	0.3377990155
341	0.3367468524
342	0.3359663775
343	0.3352201248
344	0.3346948021
345	0.3335424565
346	0.3328339994
347	0.3321270411
348	0.3311173505
349	0.3310011482
350	0.3300673979
351	0.3289899863
352	0.3277290376
353	0.3268457314
354	0.3261695113
355	0.3255185021
356	0.3248885064
357	0.3242380396
358	0.3236327078
359	0.3226994317
360	0.3215311145
361	0.321431439
362	0.3204374134
363	0.319866167
364	0.3186923774
365	0.3181437682
366	0.3173021527
367	0.3166113315
368	0.3155238639
369	0.3146470578
370	0.3139169179
371	0.3128778182
372	0.3127887809
373	0.3119529721
374	0.3112160753
375	0.3105702924
376	0.309365531
377	0.3092808108
378	0.3086230049
379	0.3080336341
380	0.3069671681
381	0.3063717844
382	0.3054726096
383	0.3048382951
384	0.304055755
385	0.3034401811
386	0.3023086361
387	0.3016215312
388	0.3008224956
389	0.3002600574
390	0.2997195018
391	0.2989832044
392	0.2984658001
393	0.2979702411
394	0.2974955664
395	0.2965012172
396	0.2957489079
397	0.2945262919
398	0.293544423
399	0.2929110935
400	0.2924561802
401	0.2918827962
402	0.2912829831
403	0.2906670301
404	0.2902274236
405	0.2897053178
406	0.2894277049
407	0.2885161787
408	0.2873469623
409	0.2862783019
410	0.2856864624
411	0.2850448975
412	0.2844424822
413	0.2840351865
414	0.2835651703
415	0.282525864
416	0.2822690858
417	0.2818929273
418	0.2814678252
419	0.2803459793
420	0.279933322
421	0.2795482651
422	0.2793062827
423	0.2790731628
424	0.2783919577
425	0.2779340746
426	0.27734847
427	0.276579332
428	0.2760458953
429	0.2750633257
430	0.2741904177
431	0.273790698
432	0.2733421967
433	0.272345118
434	0.271852603
435	0.2713993923
436	0.2706873112
437	0.2703668364
438	0.2700395857
439	0.2689077591
440	0.2686891493
441	0.2679737954
442	0.2671782828
443	0.2663892014
444	0.2658074275
445	0.2648437304
446	0.2645993628
447	0.2642781265
448	0.2638011758
449	0.2634368214
450	0.2627461916
451	0.2626089313
452	0.2620333974
453	0.2614618157
454	0.2610354171
455	0.2609106235
456	0.2601344397
457	0.2595972635
458	0.2593849219
459	0.2588390666
460	0.2585661648
461	0.2581489998
462	0.2574246488
463	0.2573015501
464	0.2564634185
465	0.2563429791
466	0.2560901012
467	0.2557565545
468	0.2550122443
469	0.2540960765
470	0.2532766367
471	0.2530913213
472	0.252409682
473	0.2521940599
474	0.2517169236
475	0.2516080337
476	0.2510083685
477	0.2505776382
478	0.250134066
479	0.2496805651
480	0.2493412583
481	0.2491191302
482	0.2484301566
483	0.2480600732
484	0.2473069239
485	0.2465805088
486	0.2461898133
487	0.2458318573
488	0.2451135012
489	0.2447474992
490	0.2438598177
491	0.2436687154
492	0.2432871265
493	0.2430366252
494	0.2424485795
495	0.2420426628
496	0.2414414432
497	0.2413254998
498	0.2408385955
499	0.2404318289
500	0.2403163059
501	0.2401015368
502	0.2397449847
503	0.2393424175
504	0.2390989589
505	0.2387525884
506	0.2383221915
507	0.2378944386
508	0.2377838869
509	0.2372684284
510	0.2371620354
511	0.2370567708
512	0.2369557723
513	0.2364106583
514	0.2358643213
515	0.2356372316
516	0.2351195881
